etf,top_n,when,date,rank,ticker,share_of_each_1000
QQQ,75,first purchase,2020-01-02,70,CERN,2.7639328685057616
QQQ,75,first purchase,2020-01-02,71,SPLK,2.7179026375325677
QQQ,75,first purchase,2020-01-02,72,VRSN,2.7124481419860293
QQQ,75,first purchase,2020-01-02,73,IDXX,2.685890719082036
QQQ,75,first purchase,2020-01-02,74,NTES,2.682356617337625
QQQ,75,first purchase,2020-01-02,75,UAL,2.672696830802117
QQQ,5,last purchase,2025-12-31,1,NVDA,272.6992736757006
QQQ,5,last purchase,2025-12-31,2,AAPL,241.45780706300243
QQQ,5,last purchase,2025-12-31,3,MSFT,216.8046859419477
QQQ,5,last purchase,2025-12-31,4,AMZN,148.74737832440496
QQQ,5,last purchase,2025-12-31,5,TSLA,120.29085499494413
QQQ,10,last purchase,2025-12-31,1,NVDA,182.38644637454652
QQQ,10,last purchase,2025-12-31,2,AAPL,161.49156096390453
QQQ,10,last purchase,2025-12-31,3,MSFT,145.0030859756739
QQQ,10,last purchase,2025-12-31,4,AMZN,99.4850678347659
QQQ,10,last purchase,2025-12-31,5,TSLA,80.45280531247224
QQQ,10,last purchase,2025-12-31,6,META,78.27336747864891
QQQ,10,last purchase,2025-12-31,7,GOOGL,73.07819693762025
QQQ,10,last purchase,2025-12-31,8,GOOG,68.067266397053
QQQ,10,last purchase,2025-12-31,9,AVGO,66.1202234603024
QQQ,10,last purchase,2025-12-31,10,PLTR,45.64197926501218
QQQ,15,last purchase,2025-12-31,1,NVDA,152.59863907502347
QQQ,15,last purchase,2025-12-31,2,AAPL,135.1163582330326
QQQ,15,last purchase,2025-12-31,3,MSFT,121.3208219218558
QQQ,15,last purchase,2025-12-31,4,AMZN,83.23691952797617
QQQ,15,last purchase,2025-12-31,5,TSLA,67.31305337919251
QQQ,15,last purchase,2025-12-31,6,META,65.48956674407776
QQQ,15,last purchase,2025-12-31,7,GOOGL,61.14288435576261
QQQ,15,last purchase,2025-12-31,8,GOOG,56.950351433553394
